fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2022-10-11
domain;smtp_host:smtp_port;smtp_login_template
as12bfb.com;smtp.as12bfb.com:587;%EMAILADDRESS%
op.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
sympatico.ca;smtphm.sympatico.ca:587;%EMAILADDRESS%
bk.ru;smtp.mail.ru:587;%EMAILADDRESS%
mail.com;smtp.mail.com:587;%EMAILADDRESS%
mail.ru;smtp.mail.ru:587;%EMAILADDRESS%
usa.com;smtp.mail.com:587;%EMAILADDRESS%
rambler.ru;mail.rambler.ru:465;%EMAILADDRESS%
flash.net;outbound.att.net:465;%EMAILADDRESS%
centurylink.net;smtp.centurylink.net:587;%EMAILADDRESS%
centurytel.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
xtra.co.nz;send.xtra.co.nz:465;%EMAILADDRESS%
laposte.net;smtp.laposte.net:465;%EMAILADDRESS%
skynet.be;relay.proximus.be:587;%EMAILADDRESS%
email.com;smtp.mail.com:587;%EMAILADDRESS%
narod.ru;smtp.yandex.com:465;%EMAILADDRESS%
mac.com;smtp.mail.me.com:587;%EMAILADDRESS%
alice.it;out.alice.it:587;%EMAILADDRESS%
qq.com;smtp.qq.com:465;%EMAILADDRESS%
vp.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
126.com;smtp.126.com:465;%EMAILADDRESS%
list.ru;smtp.mail.ru:587;%EMAILADDRESS%
email.it;smtp.email.it:587;%EMAILADDRESS%
icloud.com;smtp.mail.me.com:587;%EMAILADDRESS%
prodigy.net;outbound.att.net:465;%EMAILADDRESS%
xs4all.nl;smtps.xs4all.nl:465;%EMAILADDRESS%
zoho.com;smtp.zoho.com:587;%EMAILADDRESS%
google.com;smtp.gmail.com:465;%EMAILADDRESS%
go2.pl;poczta.o2.pl:587;%EMAILADDRESS%
virginmedia.com;smtp.virginmedia.com:465;%EMAILADDRESS%
biglobe.ne.jp;mail.biglobe.ne.jp:587;%EMAILADDRESS%
ybb.ne.jp;ybbsmtp.mail.yahoo.co.jp:465;%EMAILADDRESS%
bell.net;smtphm.sympatico.ca:587;%EMAILADDRESS%
nifty.com;smtp.nifty.com:587;%EMAILADDRESS%
a1.net;securemail.a1.net:587;%EMAILADDRESS%
snet.net;outbound.att.net:465;%EMAILADDRESS%
swbell.net;outbound.att.net:465;%EMAILADDRESS%
upcmail.nl;smtp.upcmail.nl:25;%EMAILADDRESS%
tlen.pl;poczta.o2.pl:587;%EMAILADDRESS%
amorki.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
buziaczek.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
gmx.at;mail.gmx.net:587;%EMAILADDRESS%
zeelandnet.nl;mail.zeelandnet.nl:465;%EMAILADDRESS%
kabelmail.de;smtp.kabelmail.de:25;%EMAILADDRESS%
autograf.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
fastwebnet.it;smtp.fastwebnet.it:587;%EMAILADDRESS%
live.com.au;smtp.office365.com:587;%EMAILADDRESS%
bigpond.net.au;smtp.telstra.com:465;%EMAILADDRESS%
outlook.com.au;smtp.office365.com:587;%EMAILADDRESS%
live.be;smtp.office365.com:587;%EMAILADDRESS%
outlook.be;smtp.office365.com:587;%EMAILADDRESS%
outlook.com.br;smtp.office365.com:587;%EMAILADDRESS%
uol.com.br;smtps.uol.com.br:587;%EMAILADDRESS%
bol.com.br;smtps.bol.com.br:587;%EMAILADDRESS%
hotmail.ca;smtp.office365.com:587;%EMAILADDRESS%
gmx.ca;mail.gmx.com:587;%EMAILADDRESS%
gmx.ch;mail.gmx.net:587;%EMAILADDRESS%
bluewin.ch;smtpauths.bluewin.ch:465;%EMAILADDRESS%
tiscali.cz;smtp.mail.tiscali.cz:25;%EMAILADDRESS%
worldonline.cz;smtp.mail.tiscali.cz:25;%EMAILADDRESS%
spoluzaci.cz;smtp.seznam.cz:465;%EMAILADDRESS%
web.de;smtp.web.de:587;%EMAILADDRESS%
online.de;smtp.1und1.de:587;%EMAILADDRESS%
gmx.de;mail.gmx.net:587;%EMAILADDRESS%
t-online.de;securesmtp.t-online.de:587;%EMAILADDRESS%
hotmail.de;smtp.office365.com:587;%EMAILADDRESS%
outlook.de;smtp.office365.com:587;%EMAILADDRESS%
yahoo.de;smtp.mail.yahoo.com:465;%EMAILADDRESS%
arcor.de;mail.arcor.de:587;%EMAILADDRESS%
onlinehome.de;smtp.1und1.de:587;%EMAILADDRESS%
versanet.de;smtp.versatel.de:25;%EMAILADDRESS%
terra.es;mailhost.terra.es:25;%EMAILADDRESS%
gmx.es;mail.gmx.com:587;%EMAILADDRESS%
free.fr;smtp.free.fr:587;%EMAILADDRESS%
orange.fr;smtp.orange.fr:465;%EMAILADDRESS%
wanadoo.fr;smtp.orange.fr:465;%EMAILADDRESS%
outlook.fr;smtp.office365.com:587;%EMAILADDRESS%
gmx.fr;mail.gmx.com:587;%EMAILADDRESS%
hotmail.fr;smtp.office365.com:587;%EMAILADDRESS%
live.ie;smtp.office365.com:587;%EMAILADDRESS%
gmx.ie;mail.gmx.com:587;%EMAILADDRESS%
libero.it;smtp.libero.it:465;%EMAILADDRESS%
tiscali.it;smtp.tiscali.it:465;%EMAILADDRESS%
live.it;smtp.office365.com:587;%EMAILADDRESS%
iol.it;smtp.libero.it:465;%EMAILADDRESS%
outlook.it;smtp.office365.com:587;%EMAILADDRESS%
gmx.it;mail.gmx.com:587;%EMAILADDRESS%
yahoo.co.jp;smtp.mail.yahoo.co.jp:465;%EMAILADDRESS%
hotmail.co.jp;smtp.office365.com:587;%EMAILADDRESS%
goo.jp;smtp.mail.goo.ne.jp:587;%EMAILADDRESS%
live.nl;smtp.office365.com:587;%EMAILADDRESS%
home.nl;smtp.ziggo.nl:587;%EMAILADDRESS%
hh.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILADDRESS%
hotmail.nl;smtp.office365.com:587;%EMAILADDRESS%
ziggo.nl;smtp.ziggo.nl:587;%EMAILADDRESS%
chello.nl;smtp.upcmail.nl:25;%EMAILADDRESS%
live.no;smtp.office365.com:587;%EMAILADDRESS%
comcast.net;smtp.comcast.net:587;%EMAILADDRESS%
onet.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
prokonto.pl;poczta.o2.pl:587;%EMAILADDRESS%
wp.pl;smtp.wp.pl:465;%EMAILADDRESS%
poczta.onet.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
o2.pl;poczta.o2.pl:587;%EMAILADDRESS%
republika.pl;smtp.poczta.onet.pl:587;%EMAILADDRESS%
outlook.pt;smtp.office365.com:587;%EMAILADDRESS%
yandex.ru;smtp.yandex.com:465;%EMAILADDRESS%
sapo.pt;smtp.sapo.pt:465;%EMAILADDRESS%
inbox.ru;smtp.mail.ru:587;%EMAILADDRESS%
yahoo.se;smtp.mail.yahoo.com:465;%EMAILADDRESS%
yandex.ua;smtp.yandex.com:465;%EMAILADDRESS%
yahoo.co.uk;smtp.mail.yahoo.com:465;%EMAILADDRESS%
live.co.uk;smtp.office365.com:587;%EMAILADDRESS%
gmx.co.uk;mail.gmx.com:587;%EMAILADDRESS%
ntlworld.com;smtp.ntlworld.com:465;%EMAILADDRESS%
cox.net;smtp.cox.net:587;%EMAILADDRESS%
gmx.us;mail.gmx.com:587;%EMAILADDRESS%
rocketmail.com;smtp.mail.yahoo.com:465;%EMAILADDRESS%
charter.net;smtp.charter.net:25;%EMAILADDRESS%
aim.com;smtp.aol.com:465;%EMAILADDRESS%
sbcglobal.net;outbound.att.net:465;%EMAILADDRESS%
att.net;outbound.att.net:465;%EMAILADDRESS%
verizon.net;smtp.verizon.net:465;%EMAILADDRESS%
utanet.at;mail.utanet.at:465;%EMAILADDRESS%
gte.net;smtp.aol.com:587;%EMAILADDRESS%
aol.es;smtp.aol.com:587;%EMAILADDRESS%
epix.net;smtp.frontier.com:465;%EMAILADDRESS%
sunflower.com;smtp.sunflower.com:465;%EMAILADDRESS%
bellatlantic.net;smtp.aol.com:587;%EMAILADDRESS%
adam.com.au;mail.adam.com.au:25;%EMAILADDRESS%
netspeed.com.au;mail.netspeed.com.au:465;%EMAILADDRESS%
pctcnet.net;mail.pctcnet.net:465;%EMAILADDRESS%
caiway.nl;mail.caiway.nl:465;%EMAILADDRESS%
comcen.com.au;smtp.spintel.net.au:587;%EMAILADDRESS%
caiw.nl;mail.caiw.nl:465;%EMAILADDRESS%
asianexperience.com.au;mail.asianexperience.com.au:587;%EMAILADDRESS%
chariot.net.au;mail.chariot.net.au:25;%EMAILADDRESS%
bluesurf.com.au;mail.bluesurf.com.au:465;%EMAILADDRESS%
es.co.nz;smtp.ihug.co.nz:25;%EMAILADDRESS%
westvic.com.au;mail.westvic.com.au:465;%EMAILADDRESS%
alice.de;smtp.alice.de:465;%EMAILADDRESS%
mysoul.com.au;mail.bigpond.com:465;%EMAILADDRESS%
digisurf.com.au;mail.digisurf.com.au:465;%EMAILADDRESS%
glocalnet.net;smtp.glocalnet.net:465;%EMAILADDRESS%
hunterlink.net.au;mail.hunterlink.net.au:25;%EMAILADDRESS%
zip.com.au;mail.zip.com.au:25;%EMAILADDRESS%
pacific.net.au;mail.pacific.net.au:25;%EMAILADDRESS%
eftel.net.au;mail.bigpond.com:465;%EMAILADDRESS%
westnet.com.au;mail.westnet.com.au:587;%EMAILADDRESS%
echidna.id.au;mail.iinet.net.au:587;%EMAILADDRESS%
kolumbus.fi;mail.kolumbus.fi:25;%EMAILADDRESS%
octa4.net.au;mail.m.iinet.net.au:465;%EMAILADDRESS%
teletu.it;smtp.teletu.it:587;%EMAILADDRESS%
nbnet.nb.ca;smtpa.bellaliant.net:2225;%EMAILADDRESS%
sci.fi;mail.sci.fi:25;%EMAILADDRESS%
so-net.ne.jp;mail.so-net.ne.jp:587;%EMAILADDRESS%
tjekket.dk;smtp.jubii.dk:587;%EMAILADDRESS%
hemmelig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
superbruger.dk;smtp.jubii.dk:587;%EMAILADDRESS%
spray.se;smtp.spray.se:587;%EMAILADDRESS%
bahnhof.se;mail.bahnhof.se:25;%EMAILADDRESS%
kth.se;smtp.kth.se:465;%EMAILADDRESS%
mobil.dk;smtp.jubii.dk:587;%EMAILADDRESS%
ugenstilbud.dk;smtp.jubii.dk:587;%EMAILADDRESS%
elvis.dk;smtp.jubii.dk:587;%EMAILADDRESS%
anarki.dk;smtp.jubii.dk:587;%EMAILADDRESS%
forening.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pedal.dk;smtp.jubii.dk:587;%EMAILADDRESS%
grin.dk;smtp.jubii.dk:587;%EMAILADDRESS%
worldonline.dk;smtp.jubii.dk:587;%EMAILADDRESS%
natteliv.dk;smtp.jubii.dk:587;%EMAILADDRESS%
talent.dk;smtp.jubii.dk:587;%EMAILADDRESS%
knus.dk;smtp.jubii.dk:587;%EMAILADDRESS%
indbakke.dk;smtp.jubii.dk:587;%EMAILADDRESS%
sporty.dk;smtp.jubii.dk:587;%EMAILADDRESS%
jyde.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pokerface.dk;smtp.jubii.dk:587;%EMAILADDRESS%
lystig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
quake.dk;smtp.jubii.dk:587;%EMAILADDRESS%
ready.dk;smtp.jubii.dk:587;%EMAILADDRESS%
infile.dk;smtp.jubii.dk:587;%EMAILADDRESS%
video.dk;smtp.jubii.dk:587;%EMAILADDRESS%
taxidriver.dk;smtp.jubii.dk:587;%EMAILADDRESS%
musling.dk;smtp.jubii.dk:587;%EMAILADDRESS%
sleepy.dk;smtp.jubii.dk:587;%EMAILADDRESS%
fald.dk;smtp.jubii.dk:587;%EMAILADDRESS%
tanke.dk;smtp.jubii.dk:587;%EMAILADDRESS%
heaven.dk;smtp.jubii.dk:587;%EMAILADDRESS%
postman.dk;smtp.jubii.dk:587;%EMAILADDRESS%
lazy.dk;smtp.jubii.dk:587;%EMAILADDRESS%
klog.dk;smtp.jubii.dk:587;%EMAILADDRESS%
hardworking.dk;smtp.jubii.dk:587;%EMAILADDRESS%
teens.dk;smtp.jubii.dk:587;%EMAILADDRESS%
bitnisse.dk;smtp.jubii.dk:587;%EMAILADDRESS%
inbound.dk;smtp.jubii.dk:587;%EMAILADDRESS%
cyberdude.dk;smtp.jubii.dk:587;%EMAILADDRESS%
12fuel.dk;smtp.jubii.dk:587;%EMAILADDRESS%
min-postkasse.dk;smtp.jubii.dk:587;%EMAILADDRESS%
gadefejer.dk;smtp.jubii.dk:587;%EMAILADDRESS%
feminin.dk;smtp.jubii.dk:587;%EMAILADDRESS%
traceroute.dk;smtp.jubii.dk:587;%EMAILADDRESS%
pengemand.dk;smtp.jubii.dk:587;%EMAILADDRESS%
vittig.dk;smtp.jubii.dk:587;%EMAILADDRESS%
grov.dk;smtp.jubii.dk:587;%EMAILADDRESS%
