fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-25
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
12fuel.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
2senior.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
activist.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
aol.fr;smtp.aol.com:465;%EMAILADDRESS%
accountant.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
126.com;smtp.126.com:465;%EMAILADDRESS%
alumni.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
active24.com;email.active24.com:465,email03.active24.com:465;%EMAILADDRESS%
ameritech.net;outbound.att.net:465;%EMAILADDRESS%
autograf.pl;smtp.poczta.onet.pl:465,smtp.poczta.onet.pl:587;%EMAILADDRESS%
bell.net;smtphm.sympatico.ca:587;%EMAILADDRESS%
bk.ru;smtp.mail.ru:465,smtp.mail.ru:587,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
australiamail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
brew-master.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
bigpond.net;smtp.telstra.com:465;%EMAILADDRESS%
atheist.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
backbone.dk;smtp.jubii.dk:465;%EMAILADDRESS%
city.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
blu.it;smtp.libero.it:465;%EMAILADDRESS%
bluemail.ch;smtpauths.bluewin.ch:465,sme.bluewin.ch:587;%EMAILADDRESS%
btopenworld.com;mail.btinternet.com:465;%EMAILADDRESS%
btinternet.com;mail.btinternet.com:465;%EMAILADDRESS%
cool.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
couple.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
co2.wind.ne.jp;co2.wind.ne.jp:587;%EMAILADDRESS%
cutey.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cyber-wizard.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
computer4u.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
cliffhanger.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
doglover.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
co1.wind.ne.jp;co1.wind.ne.jp:587;%EMAILADDRESS%
comic.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
compuserve.com;smtp.aol.com:465;%EMAILADDRESS%
e-postboks.dk;smtp.jubii.dk:465;%EMAILADDRESS%
earthlink.net;smtpauth.earthlink.net:587,smtpauth.qe.earthlink.net:587;%EMAILADDRESS%
europe.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
eriksen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
cyberdude.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
cyberjunkie.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
feelings.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
dan.gunmanet.or.jp;dan.wind.ne.jp:587;%EMAILADDRESS%
emadisonriver.net;smtpauth.centurytel.net:587;%EMAILADDRESS%
diplomats.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
email.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
doramail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
e-box.dk;smtp.jubii.dk:465;%EMAILADDRESS%
earthling.net;smtp.mail.com:465;%EMAILADDRESS%
freenet.de;mx.freenet.de:587;%EMAILADDRESS%
gmail.com;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
gmx.com;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
email.it;out.email.it:465,smtp.email.it:587,ir-spamexp2.email.it:587;%EMAILADDRESS%
giallo.it;smtp.libero.it:465;%EMAILADDRESS%
financier.com;smtp.mail.com:465;%EMAILADDRESS%
gmx.ru;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
graduate.org;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
hackermail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
gmx.ie;mail.gmx.com:465,mail.gmx.com:587;%EMAILADDRESS%
gardener.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
hotmail.co.jp;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hansen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
hana.or.jp;mail.hana.or.jp:587,www2.hana.or.jp:587;%EMAILADDRESS%
hippie.dk;smtp.jubii.dk:465;%EMAILADDRESS%
hetnet.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
hotmail.com.vn;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
homemail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
hotmail.de;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
grov.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
hotmail.be;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
gulftel.com;smtpauth.centurytel.net:587;%EMAILADDRESS%
hotmail.sg;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hyperpost.dk;smtp.jubii.dk:465;%EMAILADDRESS%
hotmail.com.ar;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
iloveu.dk;smtp.jubii.dk:465;%EMAILADDRESS%
inbox.ru;smtp.mail.ru:465,smtp.mail.ru:587,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
innocent.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
hotmail.co.id;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hotmail.com.br;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
hotmail.fi;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
jazztel.es;smtp.gmail.com:465,smtp-relay.gmail.com:465;%EMAILADDRESS%
ingpec.eu;smtps.pec.aruba.it:465,safety21.pec.aruba.it:465;%EMAILADDRESS%
huleboer.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
jubiichat.dk;smtp.jubii.dk:465;%EMAILADDRESS%
iiyama-catv.ne.jp;smtpa.iiyama-catv.ne.jp:465;%EMAILADDRESS%
iname.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
inorbit.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
instruction.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
jubiigames.dk;smtp.jubii.dk:465;%EMAILADDRESS%
ix.netcom.com;smtpauth.earthlink.net:587,smtpauth.qe.earthlink.net:587;%EMAILADDRESS%
jacobsen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
linuxmail.org;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
jubii.dk;smtp.jubii.dk:465;%EMAILADDRESS%
journalist.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
jubiiconnect.dk;smtp.jubii.dk:465;%EMAILADDRESS%
laursen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
live.ie;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.fr;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.ca;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.it;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.cn;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
live.no;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
kpnmail.nl;smtp.kpnmail.nl:465;%EMAILADDRESS%
kpnplanet.nl;smtp.kpnmail.nl:465,smtp.kpnmail.nl:587;%EMAILADDRESS%
m2.cty-net.ne.jp;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
lawyer.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mail.ru;smtp.mail.ru:465,smtp.mail.ru:587,smtp32.i.mail.ru:465,smtp55.i.mail.ru:465,smtp54.i.mail.ru:465,smtp41.i.mail.ru:465,smtp45.i.mail.ru:465;%EMAILADDRESS%
live.com.pt;smtp-mail.outlook.com:587,smtp-mail.outlook.com:465,smtp.office365.com:587;%EMAILADDRESS%
mathiesen.dk;smtp.jubii.dk:465;%EMAILADDRESS%
m7.cty-net.ne.jp;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
m8.cty-net.ne.jp;smtps.cty-net.ne.jp:465,www1.cty-net.ne.jp:587;%EMAILADDRESS%
mexicomail.com;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mac.com;smtp.mail.me.com:587,smtp.me.com:465,p34-smtp.mail.me.com:587,p12-smtp.mail.me.com:587;%EMAILADDRESS%
madisonriver.biz;smtpauth.centurytel.net:587;%EMAILADDRESS%
min-postkasse.dk;smtp.jubii.dk:465,mail.telenor.dk:587;%EMAILADDRESS%
magenta.de;securesmtp.t-online.de:465,securesmtp.t-online.de:587,secure-asmtp.t-online.de:587;%EMAILADDRESS%
mail.dk;asmtp.mail.dk:587;%EMAILADDRESS%
mail8.dk;smtp.jubii.dk:465;%EMAILADDRESS%
musician.org;smtp.mail.com:465,smtp.mail.com:587;%EMAILADDRESS%
mx4.et.tiki.ne.jp;smtp-auth.tiki.ne.jp:587;%EMAILADDRESS%
