fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
compuserve.com;imap.aol.com:993;%EMAILADDRESS%
feelings.com;imap.mail.com:993;%EMAILADDRESS%
pedersen.dk;imap.jubii.dk:993;%EMAILADDRESS%
tjekket.dk;imap.jubii.dk:993;%EMAILADDRESS%
birdlover.com;imap.mail.com:993;%EMAILADDRESS%
cutey.com;imap.mail.com:993;%EMAILADDRESS%
webname.com;imap.mail.com:993;%EMAILADDRESS%
amorous.com;imap.mail.com:993;%EMAILADDRESS%
pacificwest.com;imap.mail.com:993;%EMAILADDRESS%
post.com;imap.mail.com:993;%EMAILADDRESS%
gardener.com;imap.mail.com:993;%EMAILADDRESS%
keromail.com;imap.mail.com:993;%EMAILADDRESS%
teknik.dk;imap.jubii.dk:993;%EMAILADDRESS%
zoomail.dk;imap.jubii.dk:993;%EMAILADDRESS%
graduate.org;imap.mail.com:993;%EMAILADDRESS%
aol.com.ar;imap.aol.com:993;%EMAILADDRESS%
aol.fr;imap.aol.com:993;%EMAILADDRESS%
aim.com;imap.aol.com:993;%EMAILADDRESS%
bartender.net;imap.mail.com:993;%EMAILADDRESS%
tokyo.com;imap.mail.com:993;%EMAILADDRESS%
politician.com;imap.mail.com:993;%EMAILADDRESS%
gigapec.it;imaps.pec.aruba.it:993;%EMAILADDRESS%
ingpec.eu;imaps.pec.aruba.it:993;%EMAILADDRESS%
wmconnect.com;imap.aol.com:993;%EMAILADDRESS%
aol.com.au;imap.aol.com:993;%EMAILADDRESS%
aol.co.uk;imap.aol.com:993;%EMAILADDRESS%
bigpond.net.au;imap.telstra.com:993;%EMAILADDRESS%
telstra.com;imap.telstra.com:993;%EMAILADDRESS%
bigpond.net;imap.telstra.com:993;%EMAILADDRESS%
mikkelsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
flirt.dk;imap.jubii.dk:993;%EMAILADDRESS%
snakebite.com;imap.mail.com:993;%EMAILADDRESS%
bol.com.br;imap.bol.com.br:993;%EMAILLOCALPART%
bk.ru;imap.mail.ru:993;%EMAILADDRESS%
disciples.com;imap.mail.com:993;%EMAILADDRESS%
libero.it;imapmail.libero.it:993;%EMAILADDRESS%
bluemail.ch;imaps.bluewin.ch:993;%EMAILADDRESS%
charter.net;mobile.charter.net:993;%EMAILADDRESS%
btinternet.com;mail.btinternet.com:993;%EMAILADDRESS%
talk21.com;mail.btinternet.com:993;%EMAILADDRESS%
priest.com;imap.mail.com:993;%EMAILADDRESS%
rome.com;imap.mail.com:993;%EMAILADDRESS%
cc9.ne.jp;pop.cc9.ne.jp:993;%EMAILLOCALPART%
upcmail.nl;imap.ziggo.nl:993;%EMAILADDRESS%
feminin.dk;imap.jubii.dk:993;%EMAILADDRESS%
opoczta.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
cek.ne.jp;imap.cek.ne.jp:993;%EMAILADDRESS%
uymail.com;imap.mail.com:993;%EMAILADDRESS%
cyberdude.com;imap.mail.com:993;%EMAILADDRESS%
mathiesen.dk;imap.jubii.dk:993;%EMAILADDRESS%
clustermail.de;mail.clustermail.de:993;%EMAILADDRESS%
caress.com;imap.mail.com:993;%EMAILADDRESS%
brazilmail.com;imap.mail.com:993;%EMAILADDRESS%
japan.com;imap.mail.com:993;%EMAILADDRESS%
inbox.ru;imap.mail.ru:993;%EMAILADDRESS%
list.ru;imap.mail.ru:993;%EMAILADDRESS%
netscape.net;imap.aol.com:993;%EMAILADDRESS%
mobsters.com;imap.mail.com:993;%EMAILADDRESS%
onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
poczta.onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
amorki.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
vip.onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
groovymail.dk;imap.jubii.dk:993;%EMAILADDRESS%
pedal.dk;imap.jubii.dk:993;%EMAILADDRESS%
englandmail.com;imap.mail.com:993;%EMAILADDRESS%
simonsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
lovecat.com;imap.mail.com:993;%EMAILADDRESS%
