fetched from: https://autoconfig.thunderbird.net/v1.1/, updated at: 2025-01-23
domain;imap_host:imap_port;imap_login_template
compuserve.com;imap.aol.com:993;%EMAILADDRESS%
feelings.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
pedersen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
tjekket.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
birdlover.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
cutey.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
webname.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
amorous.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
pacificwest.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
post.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
gardener.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
keromail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
teknik.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
zoomail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
graduate.org;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
aol.com.ar;imap.aol.com:993,imap.mail.yahoo.com:993;%EMAILADDRESS%
aol.fr;imap.aol.com:993;%EMAILADDRESS%
aim.com;imap.aol.com:993;%EMAILADDRESS%
bartender.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
tokyo.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
politician.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
gigapec.it;imaps.pec.aruba.it:993;%EMAILADDRESS%
ingpec.eu;imaps.pec.aruba.it:993;%EMAILADDRESS%
wmconnect.com;imap.aol.com:993;%EMAILADDRESS%
aol.com.au;imap.aol.com:993;%EMAILADDRESS%
aol.co.uk;imap.aol.com:993,imap.aol.com:143;%EMAILADDRESS%
bigpond.net.au;imap.telstra.com:993;%EMAILADDRESS%
telstra.com;imap.telstra.com:993;%EMAILADDRESS%
bigpond.net;imap.telstra.com:993;%EMAILADDRESS%
mikkelsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
flirt.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
snakebite.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
bol.com.br;imap.bol.com.br:993,imap.bol.com.br:993;%EMAILADDRESS%
bk.ru;imap.mail.ru:993,imap.mail.ru:143;%EMAILADDRESS%
disciples.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
libero.it;imapmail.libero.it:993;%EMAILADDRESS%
bluemail.ch;imaps.bluewin.ch:993;%EMAILADDRESS%
charter.net;mobile.charter.net:993,imap.charter.net:143;%EMAILADDRESS%
btinternet.com;mail.btinternet.com:993;%EMAILADDRESS%
talk21.com;mail.btinternet.com:993;%EMAILADDRESS%
priest.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
rome.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
cc9.ne.jp;pop.cc9.ne.jp:993;%EMAILADDRESS%
upcmail.nl;imap.ziggo.nl:993;%EMAILADDRESS%
feminin.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
opoczta.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
cek.ne.jp;imap.cek.ne.jp:993;%EMAILADDRESS%
uymail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
cyberdude.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
mathiesen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
clustermail.de;mail.clustermail.de:993,mail.clustermail.de:143;%EMAILADDRESS%
caress.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
brazilmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
japan.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
inbox.ru;imap.mail.ru:993,imap.mail.ru:143;%EMAILADDRESS%
list.ru;imap.mail.ru:993,imap.mail.ru:143;%EMAILADDRESS%
netscape.net;imap.aol.com:993;%EMAILADDRESS%
mobsters.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
poczta.onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
amorki.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
vip.onet.pl;imap.poczta.onet.pl:993;%EMAILADDRESS%
groovymail.dk;imap.jubii.dk:993;%EMAILADDRESS%
pedal.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
englandmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
simonsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
lovecat.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
minister.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
vestergaard.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
oath.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
nycmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
rocketship.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
grov.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
columnist.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
educa.madrid.org;imap.educa.madrid.org:993;%EMAILADDRESS%
chinamail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
trashcan.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
footballer.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
manmail.dk;imap.jubii.dk:993;%EMAILADDRESS%
gmx.net;imap.gmx.net:993,imap.gmx.net:143;%EMAILADDRESS%
gmx.ch;imap.gmx.net:993,imap.gmx.net:143;%EMAILADDRESS%
atheist.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
insurer.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
emailsrvr.com;secure.emailsrvr.com:993,mail.emailsrvr.com:993;%EMAILADDRESS%
cybergal.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
e-box.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
photographer.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
sanfranmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
scotlandmail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
therapist.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
bitnisse.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
freeler.nl;imap.kpnmail.nl:993;%EMAILADDRESS%
io.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mail-mig.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
jubiichat.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
giallo.it;imapmail.libero.it:993;%EMAILADDRESS%
poetic.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
gmx.co.uk;imap.gmx.com:993,imap.gmx.com:143;%EMAILADDRESS%
gmx.tm;imap.gmx.com:993,mail.gmx.net:993;%EMAILADDRESS%
gmx.ca;imap.gmx.com:993,imap.gmx.com:143;%EMAILADDRESS%
gmx.org;imap.gmx.net:993,mail.gmx.net:993;%EMAILADDRESS%
gmx.at;imap.gmx.net:993,imap.gmx.net:143;%EMAILADDRESS%
gmx.biz;imap.gmx.net:993,mail.gmx.net:993;%EMAILADDRESS%
gmx.info;imap.gmx.net:993,mail.gmx.net:993;%EMAILADDRESS%
gmx.it;imap.gmx.com:993,imap.gmx.com:143;%EMAILADDRESS%
mein.gmx;imap.gmx.net:993;%EMAILADDRESS%
gmx.sg;imap.gmx.com:993,imap.gmx.com:143;%EMAILADDRESS%
gmx.com.tr;imap.gmx.com:993,imap.gmx.com:143;%EMAILADDRESS%
googlemail.com;imap.gmail.com:993,imap.googlemail.com:993;%EMAILADDRESS%
nyu.edu;imap.gmail.com:993;%EMAILADDRESS%
gransy.com;imap.gransy.com:993,imap.gransy.com:143;%EMAILADDRESS%
infile.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
privatmail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
madsen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
sporty.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
jubiigames.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
soon.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
dr.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
california.usa.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
illinois.usa.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
australiamail.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
outlook.co.il;outlook.office365.com:993;%EMAILADDRESS%
hotmail.co.kr;outlook.office365.com:993;%EMAILADDRESS%
outlook.be;outlook.office365.com:993;%EMAILADDRESS%
outlook.hu;outlook.office365.com:993;%EMAILADDRESS%
outlook.com.au;outlook.office365.com:993;%EMAILADDRESS%
hotmail.com.hk;outlook.office365.com:993,imap-mail.outlook.com:993;%EMAILADDRESS%
livemail.tw;outlook.office365.com:993;%EMAILADDRESS%
live.nl;outlook.office365.com:993;%EMAILADDRESS%
hotmail.be;outlook.office365.com:993;%EMAILADDRESS%
msn.com;outlook.office365.com:993,imap-mail.outlook.com:993;%EMAILADDRESS%
outlook.at;outlook.office365.com:993;%EMAILADDRESS%
outlook.sa;outlook.office365.com:993;%EMAILADDRESS%
hippie.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mac.com;imap.mail.me.com:993,imap.mail.me.com:993;%EMAILADDRESS%
me.com;imap.mail.me.com:993,imap.mail.me.com:993;%EMAILADDRESS%
iiyama-catv.ne.jp;imap.iiyama-catv.ne.jp:993;%EMAILADDRESS%
trustme.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
minprivatemail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
petersen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
ispgateway.de;sslin.df.eu:993,mail.ispgateway.de:993;%EMAILADDRESS%
tastmig.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
e-mail.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
janis.or.jp;imaps.janis.or.jp:993;%EMAILADDRESS%
contractor.net;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
comic.com;imap.mail.com:993,imap.mail.com:143;%EMAILADDRESS%
jet.ne.jp;imap.jet.ne.jp:993,imap.jet.ne.jp:993;%EMAILADDRESS%
christiansen.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
kvalme.dk;imap.jubii.dk:993,imap.jubii.dk:143;%EMAILADDRESS%
mikaelsen.dk;imap.jubii.dk:993;%EMAILADDRESS%
